disease,gene,MultiCens_Score,Fusion_RRF,VQ_star,OpenAI,MedLLaMA,OpenAI_NoCRED,MedLLaMA_NoCRED,Causal_Ratio,label,paper_count,layer_type
Parkinson,6469,0.00039196018182668826,0.05403317501600521,0.8067916632779618,0.0,0.0,0.0,0.0,0.02531645569620253,0,79,bibliometric_only
Parkinson,6622,0.7598249330993666,0.9465337873834194,0.9752458443532905,0.95,0.9999986920827032,0.95,1.0,0.2791752577319588,1,9700,both_layers
Parkinson,120892,0.19308152463643266,0.5851391574768644,0.9883630073427809,0.95,0.7659851736371086,0.95,1.0,0.4409515717926933,1,2354,both_layers
Parkinson,2629,0.010172471339450281,0.3174146956235116,0.9864952950974635,0.85,0.803450599500154,0.85,0.9,0.41834451901565994,1,894,both_layers
Parkinson,5071,0.42258126474821905,0.8754275790414316,0.9869255448664211,0.95,0.6181206564520825,0.95,1.0,0.4097154072620216,1,2038,both_layers
Parkinson,1981,0.17944384666374452,0.5459919056884261,0.983529073722318,0.75,0.665896262894951,0.8,0.0,0.35714285714285715,1,56,both_layers
Parkinson,23400,0.0005883537135139037,0.15403193128947046,0.9871494016074209,0.0,0.0,0.0,0.0,0.3864734299516908,0,207,bibliometric_only
Parkinson,11315,0.11255570513868016,0.44355831525386963,0.9876808085197398,0.95,0.8348333209375411,0.95,0.5,0.42117117117117114,1,888,both_layers
Parkinson,51142,0.0005087669074505989,0.10786530254013184,0.976595664462795,0.85,0.5939941428101335,0.9,1.0,0.30864197530864196,1,81,bibliometric_only
Parkinson,55737,0.07962833137002323,0.42268006139802317,0.9895155131839108,0.75,0.5,0.8,0.0,0.48514851485148514,1,202,both_layers
Parkinson,8867,0.008336370610292923,0.29640775459747243,0.9791668110892496,0.85,0.5,0.9,0.9,0.3148148148148148,1,54,both_layers
Parkinson,351,0.6870574816962397,0.9133538632472852,0.9450826143802324,0.85,0.5,0.85,1.0,0.13837920489296637,0,1308,both_layers
Parkinson,1385,0.22568407214838088,0.6058933153468781,0.8306473607310154,0.2,0.0,0.2,0.0,0.0449438202247191,0,89,both_layers
Parkinson,102,0.0006369020749412035,0.09091421822129808,0.0,0.0,0.0,0.0,0.0,0.0,0,9,both_layers
Parkinson,55600,6.467496019126315e-09,0.00751258181789496,0.0,0.0,0.0,0.0,0.0,0.0,0,4,bibliometric_only
Parkinson,3091,0.0004551383613638127,0.060523512582197916,0.7131026077901211,0.0,0.0,0.0,0.0,0.046875,0,64,bibliometric_only
Parkinson,5594,0.0005286132539177846,0.07665736949103386,0.7894066538950174,0.0,0.0,0.0,0.0,0.03286384976525822,0,213,bibliometric_only
Parkinson,960,0.00047920140164920495,0.06946544777155547,0.8918425388921931,0.0,0.0,0.0,0.0,0.0625,0,16,bibliometric_only
Parkinson,207,0.3964615910399931,0.8087820163867586,0.8598325847708249,0.2,0.5,0.3,1.0,0.04929577464788732,0,426,both_layers
Parkinson,1813,0.0004825966099110778,0.06541278911861843,0.7806164839563667,0.0,0.0,0.0,0.0,0.042283298097251586,0,473,bibliometric_only
Parkinson,1815,0.0005683662797016885,0.0945014494271366,0.9088038994590604,0.0,0.0,0.0,0.0,0.058823529411764705,0,51,bibliometric_only
Parkinson,32796,6.570647894272866e-09,0.007572247032866283,0.0,0.0,0.0,0.0,0.0,0.0,0,4,bibliometric_only
Parkinson,25820,0.12813769574831962,0.4031866200618278,0.0,0.85,0.5,0.9,0.9,0.0,0,6,both_layers
Parkinson,6863,0.00036328102544699203,0.058563136282756945,0.9160772340563597,0.0,0.0,0.0,0.0,0.09782608695652174,0,92,bibliometric_only
Parkinson,16193,2.0858618540291457e-09,0.0047472882745172255,0.0,0.0,0.0,0.0,0.0,0.0,0,264,bibliometric_only
Parkinson,20617,0.0004936755141791334,0.08101651221180485,0.9419245974296623,0.92,0.952510896299844,0.95,1.0,0.12531969309462915,0,1955,bibliometric_only
Parkinson,16176,0.000409109137817637,0.05348201247512753,0.48414675601634655,0.0,0.0,0.0,0.0,0.007407407407407408,0,405,bibliometric_only
Parkinson,21926,0.00038456271378973887,0.05096325106018901,0.376533809232149,0.0,0.0,0.0,0.0,0.006198347107438017,0,484,bibliometric_only
Parkinson,4609,0.0003754336972017652,0.0536721571039297,0.8394887825255428,0.0,0.0,0.0,0.0,0.07017543859649122,0,57,bibliometric_only
Parkinson,4613,0.0004085709195452779,0.10356594235801095,0.9827313729843353,0.0,0.0,0.0,0.0,0.3333333333333333,0,3,bibliometric_only
Parkinson,1977,0.127018479666367,0.3977005869461928,0.0,0.85,0.0,0.9,0.9,0.0,0,2,both_layers
Parkinson,217,0.00043954178812501577,0.10475092485436309,0.981390778052556,0.0,0.0,0.0,0.0,0.29411764705882354,0,17,bibliometric_only
Parkinson,4137,0.3855826869757558,0.8110592262390974,0.9487482674945089,0.85,0.89945224035239,0.85,1.0,0.1544159544159544,1,1755,both_layers
Parkinson,1378,0.13936448134823987,0.4236220934175684,0.0,0.0,0.0,0.0,0.0,0.0,0,9,both_layers
Parkinson,348,0.21606200996398792,0.6001223753482202,0.9377393332381256,0.85,0.5,0.85,0.0,0.10478359908883828,0,439,both_layers
Parkinson,23607,0.0032091275685357554,0.2203429110894124,0.0,0.0,0.0,0.0,0.0,0.0,0,4,both_layers
Parkinson,1859,0.000469506105565288,0.06643530485121346,0.8662779984333242,0.0,0.0,0.0,0.0,0.08695652173913043,0,23,bibliometric_only
Parkinson,1191,0.07634744774297232,0.3600508363414064,0.9505734308670385,0.0,0.0,0.0,0.0,0.13636363636363635,0,44,both_layers
Parkinson,627,0.0005075500054872018,0.0723121898637216,0.8209709410142657,0.0,0.0,0.0,0.0,0.04271844660194175,0,515,bibliometric_only
Parkinson,4929,0.20221691432395938,0.5483204327346262,0.9470495042638326,0.85,0.9981222206659524,0.85,1.0,0.14354066985645933,1,209,both_layers
Parkinson,5309,0.12073400302582328,0.4084377728859685,0.8605401915251842,0.2,0.5,0.2,0.9,0.0641025641025641,0,78,both_layers
Parkinson,26281,0.0004898941060818863,0.08377045981712644,0.9527222724007705,0.0,0.0,0.0,0.0,0.15217391304347827,0,46,bibliometric_only
Parkinson,4010,0.0003922320186095126,0.05920705324561289,0.9006317544541615,0.0,0.0,0.0,0.0,0.06666666666666667,0,30,bibliometric_only
Parkinson,7054,0.885696788317122,0.9547882620398197,0.799788304274138,0.85,0.5,0.85,0.9,0.04028197381671702,0,993,both_layers
Parkinson,18742,0.0004013050564873621,0.05525113094577992,0.815259688480219,0.0,0.0,0.0,0.0,0.033707865168539325,0,89,bibliometric_only
Parkinson,2019,0.00035922746784336853,0.05095491208468239,0.8010238172621862,0.0,0.0,0.0,0.0,0.03225806451612903,0,31,bibliometric_only
Parkinson,1644,0.0004445706300172895,0.06197483845946812,0.8557043559486687,0.0,0.0,0.0,0.0,0.06995884773662552,0,243,bibliometric_only
Parkinson,2247,0.00036525332943324604,0.05182685311062159,0.813391243646989,0.0,0.0,0.0,0.0,0.025974025974025976,0,77,bibliometric_only
Parkinson,6531,0.18309256811832478,0.5152770134948615,0.869713020273161,0.85,0.5,0.95,1.0,0.06746987951807229,1,1660,both_layers
Parkinson,842,0.2995240186108742,0.6731444107092956,0.8909632790234548,0.85,0.5,0.9,0.9,0.058823529411764705,0,68,both_layers
Parkinson,66725,0.0004918716377382001,0.10208325594422189,0.9756814447402913,0.85,0.938183229143452,0.9,1.0,0.29393939393939394,0,330,bibliometric_only
Parkinson,29244,1.7843825837474968e-09,0.004447330787354919,0.0,0.0,0.0,0.0,0.0,0.0,0,17,bibliometric_only
Parkinson,24387,0.0003263442026577633,0.046330154421903955,0.456245003838577,0.0,0.0,0.0,0.0,0.004761904761904762,0,210,bibliometric_only
Parkinson,25085,0.0004526520954773755,0.05876755786029841,0.31980703247074727,0.0,0.0,0.0,0.0,0.004901960784313725,0,1632,bibliometric_only
Parkinson,24311,0.0006372890654863638,0.11087617306416794,0.5221584528567609,0.0,0.0,0.0,0.0,0.014925373134328358,0,67,bibliometric_only
Parkinson,65018,0.250368859088566,0.6866866843792356,0.9882893450585991,0.95,0.9036928241277415,0.95,1.0,0.4424398625429553,1,1164,both_layers
Parkinson,57817,0.00027539108374470073,0.04543755148583272,0.8120865802095001,0.0,0.0,0.0,0.0,0.047619047619047616,0,21,bibliometric_only
Parkinson,30061,0.0005680822252425391,0.08898875915103562,0.8254612794448668,0.0,0.0,0.0,0.0,0.058823529411764705,0,17,bibliometric_only
Parkinson,836,0.4307761818986943,0.8273604517330501,0.7718992822980518,0.85,0.9017262627336688,0.85,1.0,0.02880658436213992,0,486,both_layers
Parkinson,7345,0.09602034141963377,0.40943234946779883,0.9799188360019129,0.85,0.9418191686119352,0.8,0.5,0.29515418502202645,1,227,both_layers
Parkinson,24318,0.0007687356445673967,0.19573707259892403,0.3284983195599772,0.0,0.0,0.0,0.0,0.015625,0,64,bibliometric_only
Parkinson,175086,4.342191952480008e-10,0.002661363771955851,0.0,0.0,0.0,0.0,0.0,0.0,0,4,bibliometric_only
Parkinson,260040,1.2291037129402617e-08,0.010090534357068099,0.0,0.0,0.0,0.0,0.0,0.0,0,4,bibliometric_only
Parkinson,181748,4.5154617890381514e-09,0.006442954911939617,0.0,0.0,0.0,0.0,0.0,0.0,0,16,bibliometric_only
Parkinson,177886,6.38916895150999e-09,0.007464678166618492,0.0,0.0,0.0,0.0,0.0,0.0,0,9,bibliometric_only
